Album ID,Album Name
7baaCf70tVcUBL2bbkuXjo,How Do You Sleep?
4ow6xJwn49gpWz7iHpOzWY,"10,000 Hours (with Justin Bieber)"
1uyf3l2d4XYwiEqAb7t7fX,Doo-Wops & Hooligans
4fZIyJn2wKb51QPNnWYnqt,Mercury - Act 1
0JGOiO34nwfUdDrD612dOp,Happier Than Ever
7LnU0hAOYe9aq91PCKMI7A,Drag Me Down
2qVN3yVtkrPT9YL7djTNwt,Blurred Lines
3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams
3jB9yFDwRe3KhtGnHXJntk,PRISM
20a4p8pXFFG3ZungWSbYv3,Fancy
1s9tU91VJt4sU5owi29GD3,TRUE
2gXTTQ713nCELgPOS0qWyt,Nothing Was The Same (Deluxe)
17a7gzqcZt6SjXRQVoXN6M,Did You Hear the Rain?
155N1gV0cIFYaLiy3I5d83,The Lumineers
4ZyeHIgdujClXSjC2cSqSb,After Hours (Deluxe)
0TyDTzG2zt2tg0wONT9wSU,679 (feat. Remy Boyz)
4QcXq4vTVN7dFb7bZa9jG2,Pharmacy
0K4pIOOsfJ9lK8OjrZfXzd,25
2OMDL0qyQF7nk2tRJE8RmD,Mirrors
2ePFIvZKMe8zefATp9ofFA,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit]
3RKhRsifs4RWrqvWV1YpPY,Don't You Worry Child
